Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2022-09-13,2022-09-13,Tuesday,MSFU,Buy_on_Dip,1,24.0111,24.0111,True,24.0111,1,1,24.0111,24.0111,1,24.0111,22.3484,22.3484,24.2536
2022-09-13,2022-09-13,Tuesday,MSFU,Buy_on_Dip,2,23.7686,23.7686,True,23.7686,1,1,23.7686,23.7686,2,47.7797,44.6967,22.3484,24.2536
2022-09-13,2022-09-13,Tuesday,MSFU,Buy_on_Dip,3,23.526,23.526,True,23.526,1,1,23.526,23.526,3,71.3057,67.0451,22.3484,24.2536
2022-09-13,2022-09-13,Tuesday,MSFU,Buy_on_Dip,4,23.2835,23.2835,True,23.2835,1,1,23.2835,23.2835,4,94.5892,89.3934,22.3484,24.2536
2022-09-13,2022-09-13,Tuesday,MSFU,Buy_on_Dip,5,23.041,23.041,True,23.041,1,1,23.041,23.041,5,117.6302,111.7418,22.3484,24.2536
2022-09-13,2022-09-13,Tuesday,MSFU,Buy_on_Dip,6,22.7984,22.7984,True,22.7984,1,1,22.7984,22.7984,6,140.4286,134.0902,22.3484,24.2536
2022-09-13,2022-09-13,Tuesday,MSFU,Buy_on_Dip,7,22.5559,22.5559,True,22.5559,1,1,22.5559,22.5559,7,162.9845,156.4385,22.3484,24.2536
2022-09-15,2022-09-15,Thursday,MSFU,Buy_on_Dip,1,22.1249,22.1249,True,22.1249,1,1,22.1249,22.1249,8,185.1094,171.5548,21.4443,22.3484
2022-09-15,2022-09-15,Thursday,MSFU,Buy_on_Dip,2,21.9014,21.9014,True,21.9014,1,1,21.9014,21.9014,9,207.0108,192.9991,21.4443,22.3484
2022-09-15,2022-09-15,Thursday,MSFU,Buy_on_Dip,3,21.6779,21.6779,True,21.6779,1,1,21.6779,21.6779,10,228.6887,214.4435,21.4443,22.3484
2022-09-15,2022-09-15,Thursday,MSFU,Buy_on_Dip,4,21.4544,21.4544,True,21.4544,1,1,21.4544,21.4544,11,250.1431,235.8878,21.4443,22.3484
