Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2022-09-08,2022-09-08,Thursday,GGLL,Buy_on_Dip,1,23.7408,23.7408,True,23.7408,1,1,23.7408,23.7408,1,23.7408,23.5763,23.5763,23.9806
2022-09-13,2022-09-13,Tuesday,GGLL,Buy_on_Dip,1,24.1154,24.1154,True,24.1154,1,1,24.1154,24.1154,2,47.8562,44.6305,22.3153,24.359
2022-09-13,2022-09-13,Tuesday,GGLL,Buy_on_Dip,2,23.8718,23.8718,True,23.8718,1,1,23.8718,23.8718,3,71.728,66.9458,22.3153,24.359
2022-09-13,2022-09-13,Tuesday,GGLL,Buy_on_Dip,3,23.6282,23.6282,True,23.6282,1,1,23.6282,23.6282,4,95.3562,89.261,22.3153,24.359
2022-09-13,2022-09-13,Tuesday,GGLL,Buy_on_Dip,4,23.3846,23.3846,True,23.3846,1,1,23.3846,23.3846,5,118.7408,111.5763,22.3153,24.359
2022-09-13,2022-09-13,Tuesday,GGLL,Buy_on_Dip,5,23.141,23.141,True,23.141,1,1,23.141,23.141,6,141.8818,133.8915,22.3153,24.359
2022-09-13,2022-09-13,Tuesday,GGLL,Buy_on_Dip,6,22.8974,22.8974,True,22.8974,1,1,22.8974,22.8974,7,164.7792,156.2068,22.3153,24.359
2022-09-13,2022-09-13,Tuesday,GGLL,Buy_on_Dip,7,22.6538,22.6538,True,22.6538,1,1,22.6538,22.6538,8,187.433,178.522,22.3153,24.359
2022-09-13,2022-09-13,Tuesday,GGLL,Buy_on_Dip,8,22.4102,22.4102,True,22.4102,1,1,22.4102,22.4102,9,209.8432,200.8373,22.3153,24.359
2022-09-15,2022-09-15,Thursday,GGLL,Buy_on_Dip,1,22.2386,22.2386,True,22.2386,1,1,22.2386,22.2386,10,232.0818,218.2491,21.8249,22.4633
2022-09-15,2022-09-15,Thursday,GGLL,Buy_on_Dip,2,22.014,22.014,True,22.014,1,1,22.014,22.014,11,254.0958,240.074,21.8249,22.4633
2022-09-15,2022-09-15,Thursday,GGLL,Buy_on_Dip,3,21.7894,21.7894,True,21.7894,1,1,21.7894,21.7894,12,275.8852,261.8989,21.8249,22.4633
2022-09-16,2022-09-16,Friday,GGLL,Buy_on_Dip,1,21.6067,21.6067,True,21.6067,1,1,21.6067,21.6067,13,297.4919,283.363,21.7972,21.8249
2022-09-19,2022-09-19,Monday,GGLL,Buy_on_Dip,1,21.5792,21.5792,True,21.5792,1,1,21.5792,21.5792,14,319.0711,305.7559,21.8397,21.7972
2022-09-20,2022-09-20,Tuesday,GGLL,Buy_on_Dip,1,21.6213,21.6213,True,21.6213,1,1,21.6213,21.6213,15,340.6924,317.6289,21.1753,21.8397
2022-09-20,2022-09-20,Tuesday,GGLL,Buy_on_Dip,2,21.4029,21.4029,True,21.4029,1,1,21.4029,21.4029,16,362.0953,338.8042,21.1753,21.8397
2022-09-20,2022-09-20,Tuesday,GGLL,Buy_on_Dip,3,21.1845,21.1845,True,21.1845,1,1,21.1845,21.1845,17,383.2798,359.9795,21.1753,21.8397
2022-09-21,2022-09-21,Wednesday,GGLL,Buy_on_Dip,1,20.9635,20.9635,True,20.9635,1,1,20.9635,20.9635,18,404.2433,371.127,20.6182,21.1753
2022-09-21,2022-09-21,Wednesday,GGLL,Buy_on_Dip,2,20.7518,20.7518,True,20.7518,1,1,20.7518,20.7518,19,424.9951,391.7452,20.6182,21.1753
2022-09-23,2022-09-23,Friday,GGLL,Buy_on_Dip,1,20.7326,20.7326,True,20.7326,1,1,20.7326,20.7326,20,445.7277,409.587,20.4794,20.9421
2022-09-23,2022-09-23,Friday,GGLL,Buy_on_Dip,2,20.5232,20.5232,True,20.5232,1,1,20.5232,20.5232,21,466.2509,430.0664,20.4794,20.9421
2022-09-23,2022-09-23,Friday,GGLL,Buy_on_Dip,3,20.3138,20.3138,True,20.3138,1,1,20.3138,20.3138,22,486.5647,450.5457,20.4794,20.9421
2022-09-23,2022-09-23,Friday,GGLL,Buy_on_Dip,4,20.1044,20.1044,True,20.1044,1,1,20.1044,20.1044,23,506.6691,471.0251,20.4794,20.9421
2022-09-26,2022-09-26,Monday,GGLL,Buy_on_Dip,1,20.2746,20.2746,True,20.2746,1,1,20.2746,20.2746,24,526.9437,487.1291,20.297,20.4794
2022-09-27,2022-09-27,Tuesday,GGLL,Buy_on_Dip,1,20.0941,20.0941,True,20.0941,1,1,20.0941,20.0941,25,547.0378,501.3647,20.0546,20.297
