Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-10-05,2005-10-05,Wednesday,XLG,Buy_on_Dip,1,6.3427,6.3427,True,6.3427,1,1,6.3427,6.3427,1,6.3427,6.3416,6.3416,6.4068
2005-10-20,2005-10-20,Thursday,XLG,Buy_on_Dip,1,6.3031,6.3031,True,6.3031,1,1,6.3031,6.3031,2,12.6458,12.5331,6.2665,6.3668
2005-12-27,2005-12-27,Tuesday,XLG,Buy_on_Dip,1,6.6199,6.6199,True,6.6199,1,1,6.6199,6.6199,3,19.2657,19.8593,6.6198,6.6867
2006-01-18,2006-01-18,Wednesday,XLG,Buy_on_Dip,1,6.6861,6.6861,True,6.6861,1,1,6.6861,6.6861,4,25.9518,26.854,6.7135,6.7537
2006-01-20,2006-01-20,Friday,XLG,Buy_on_Dip,1,6.6708,6.6708,True,6.6708,1,1,6.6708,6.6708,5,32.6226,32.9298,6.586,6.7382
2006-01-20,2006-01-20,Friday,XLG,Buy_on_Dip,2,6.6034,6.6034,True,6.6034,1,1,6.6034,6.6034,6,39.226,39.5157,6.586,6.7382
2006-02-28,2006-02-28,Tuesday,XLG,Buy_on_Dip,1,6.6722,6.6722,True,6.6722,1,1,6.6722,6.6722,7,45.8982,46.738,6.6769,6.7396
2006-05-11,2006-05-11,Thursday,XLG,Buy_on_Dip,1,6.7609,6.7609,True,6.7609,1,1,6.7609,6.7609,8,52.6591,53.902,6.7377,6.8292
2006-05-17,2006-05-17,Wednesday,XLG,Buy_on_Dip,1,6.6767,6.6767,True,6.6767,1,1,6.6767,6.6767,9,59.3358,59.6632,6.6292,6.7441
2006-05-30,2006-05-30,Tuesday,XLG,Buy_on_Dip,1,6.6311,6.6311,True,6.6311,1,1,6.6311,6.6311,10,65.9669,66.0017,6.6002,6.698
2006-06-05,2006-06-05,Monday,XLG,Buy_on_Dip,1,6.6535,6.6535,True,6.6535,1,1,6.6535,6.6535,11,72.6204,72.8359,6.6214,6.7207
2006-06-08,2006-06-08,Thursday,XLG,Buy_on_Dip,1,6.5314,6.5314,True,6.5314,1,1,6.5314,6.5314,12,79.1518,79.1254,6.5938,6.5973
2006-07-12,2006-07-12,Wednesday,XLG,Buy_on_Dip,1,6.6434,6.6434,True,6.6434,1,1,6.6434,6.6434,13,85.7952,86.3289,6.6407,6.7105
2006-07-13,2006-07-13,Thursday,XLG,Buy_on_Dip,1,6.5743,6.5743,True,6.5743,1,1,6.5743,6.5743,14,92.3695,91.863,6.5616,6.6407
2006-11-27,2006-11-27,Monday,XLG,Buy_on_Dip,1,7.5081,7.5081,True,7.5081,1,1,7.5081,7.5081,15,99.8776,112.2364,7.4824,7.5839
2007-01-25,2007-01-25,Thursday,XLG,Buy_on_Dip,1,7.782,7.782,True,7.782,1,1,7.782,7.782,16,107.6596,123.9322,7.7458,7.8606
2007-02-27,2007-02-27,Tuesday,XLG,Buy_on_Dip,1,7.6584,7.6584,True,7.6584,1,1,7.6584,7.6584,17,115.318,126.5026,7.4413,7.7357
2007-02-27,2007-02-27,Tuesday,XLG,Buy_on_Dip,2,7.581,7.581,True,7.581,1,1,7.581,7.581,18,122.899,133.944,7.4413,7.7357
2007-02-27,2007-02-27,Tuesday,XLG,Buy_on_Dip,3,7.5036,7.5036,True,7.5036,1,1,7.5036,7.5036,19,130.4026,141.3853,7.4413,7.7357
2007-02-27,2007-02-27,Tuesday,XLG,Buy_on_Dip,4,7.4263,7.4263,True,7.4263,1,1,7.4263,7.4263,20,137.8289,148.8266,7.4413,7.7357
2007-03-01,2007-03-01,Thursday,XLG,Buy_on_Dip,1,7.433,7.433,True,7.433,1,1,7.433,7.433,21,145.2619,157.3536,7.493,7.5081
2007-03-02,2007-03-02,Friday,XLG,Buy_on_Dip,1,7.4181,7.4181,True,7.4181,1,1,7.4181,7.4181,22,152.68,163.1565,7.4162,7.493
2007-03-13,2007-03-13,Tuesday,XLG,Buy_on_Dip,1,7.4245,7.4245,True,7.4245,1,1,7.4245,7.4245,23,160.1045,169.4168,7.3659,7.4995
2007-05-10,2007-05-10,Thursday,XLG,Buy_on_Dip,1,8.0117,8.0117,True,8.0117,1,1,8.0117,8.0117,24,168.1162,191.416,7.9757,8.0926
2007-06-06,2007-06-06,Wednesday,XLG,Buy_on_Dip,1,8.1103,8.1103,True,8.1103,1,1,8.1103,8.1103,25,176.2265,202.8922,8.1157,8.1922
2007-06-07,2007-06-07,Thursday,XLG,Buy_on_Dip,1,8.0345,8.0345,True,8.0345,1,1,8.0345,8.0345,26,184.261,207.5737,7.9836,8.1157
2007-06-12,2007-06-12,Tuesday,XLG,Buy_on_Dip,1,8.0017,8.0017,True,8.0017,1,1,8.0017,8.0017,27,192.2627,216.0445,8.0016,8.0825
2007-06-20,2007-06-20,Wednesday,XLG,Buy_on_Dip,1,8.1335,8.1335,True,8.1335,1,1,8.1335,8.1335,28,200.3962,226.9114,8.104,8.2156
2007-06-22,2007-06-22,Friday,XLG,Buy_on_Dip,1,8.0689,8.0689,True,8.0689,1,1,8.0689,8.0689,29,208.4651,232.9341,8.0322,8.1504
2007-07-10,2007-07-10,Tuesday,XLG,Buy_on_Dip,1,8.1119,8.1119,True,8.1119,1,1,8.1119,8.1119,30,216.577,242.5974,8.0866,8.1939
2007-07-18,2007-07-18,Wednesday,XLG,Buy_on_Dip,1,8.2591,8.2591,True,8.2591,1,1,8.2591,8.2591,31,224.8361,257.5831,8.3091,8.3425
2007-07-20,2007-07-20,Friday,XLG,Buy_on_Dip,1,8.2562,8.2562,True,8.2562,1,1,8.2562,8.2562,32,233.0923,264.4772,8.2649,8.3396
2007-07-24,2007-07-24,Tuesday,XLG,Buy_on_Dip,1,8.2325,8.2325,True,8.2325,1,1,8.2325,8.2325,33,241.3248,269.9433,8.1801,8.3157
2007-07-26,2007-07-26,Thursday,XLG,Buy_on_Dip,1,8.1471,8.1471,True,8.1471,1,1,8.1471,8.1471,34,249.4719,273.6621,8.0489,8.2294
2007-07-26,2007-07-26,Thursday,XLG,Buy_on_Dip,2,8.0648,8.0648,True,8.0648,1,1,8.0648,8.0648,35,257.5367,281.711,8.0489,8.2294
2007-07-26,2007-07-26,Thursday,XLG,Buy_on_Dip,3,7.9825,7.9825,True,7.9825,1,1,7.9825,7.9825,36,265.5192,289.7598,8.0489,8.2294
2007-07-27,2007-07-27,Friday,XLG,Buy_on_Dip,1,7.9684,7.9684,True,7.9684,1,1,7.9684,7.9684,37,273.4876,290.8349,7.8604,8.0489
2007-07-27,2007-07-27,Friday,XLG,Buy_on_Dip,2,7.8879,7.8879,True,7.8879,1,1,7.8879,7.8879,38,281.3755,298.6953,7.8604,8.0489
2007-07-31,2007-07-31,Tuesday,XLG,Buy_on_Dip,1,7.9131,7.9131,True,7.9131,1,1,7.9131,7.9131,39,289.2886,307.4888,7.8843,7.9931
2007-08-03,2007-08-03,Friday,XLG,Buy_on_Dip,1,7.9024,7.9024,True,7.9024,1,1,7.9024,7.9024,40,297.191,311.6611,7.7915,7.9822
2007-08-03,2007-08-03,Friday,XLG,Buy_on_Dip,2,7.8225,7.8225,True,7.8225,1,1,7.8225,7.8225,41,305.0135,319.4527,7.7915,7.9822
2007-08-09,2007-08-09,Thursday,XLG,Buy_on_Dip,1,8.076,8.076,True,8.076,1,1,8.076,8.076,42,313.0895,332.938,7.9271,8.1576
2007-08-09,2007-08-09,Thursday,XLG,Buy_on_Dip,2,7.9945,7.9945,True,7.9945,1,1,7.9945,7.9945,43,321.084,340.8651,7.9271,8.1576
2007-08-10,2007-08-10,Friday,XLG,Buy_on_Dip,1,7.8478,7.8478,True,7.8478,1,1,7.8478,7.8478,44,328.9318,345.8577,7.8604,7.9271
2007-08-14,2007-08-14,Tuesday,XLG,Buy_on_Dip,1,7.8076,7.8076,True,7.8076,1,1,7.8076,7.8076,45,336.7394,350.032,7.7785,7.8865
2007-08-15,2007-08-15,Wednesday,XLG,Buy_on_Dip,1,7.7007,7.7007,True,7.7007,1,1,7.7007,7.7007,46,344.4401,353.0752,7.6755,7.7785
2007-08-16,2007-08-16,Thursday,XLG,Buy_on_Dip,1,7.5988,7.5988,True,7.5988,1,1,7.5988,7.5988,47,352.0389,363.6126,7.7364,7.6755
2007-08-20,2007-08-20,Monday,XLG,Buy_on_Dip,1,7.8277,7.8277,True,7.8277,1,1,7.8277,7.8277,48,359.8666,379.1782,7.8995,7.9068
2007-08-28,2007-08-28,Tuesday,XLG,Buy_on_Dip,1,7.9347,7.9347,True,7.9347,1,1,7.9347,7.9347,49,367.8013,384.2716,7.8423,8.0148
2007-08-28,2007-08-28,Tuesday,XLG,Buy_on_Dip,2,7.8545,7.8545,True,7.8545,1,1,7.8545,7.8545,50,375.6558,392.1139,7.8423,8.0148
2007-09-05,2007-09-05,Wednesday,XLG,Buy_on_Dip,1,8.0631,8.0631,True,8.0631,1,1,8.0631,8.0631,51,383.7189,410.9738,8.0583,8.1446
2007-09-07,2007-09-07,Friday,XLG,Buy_on_Dip,1,7.9964,7.9964,True,7.9964,1,1,7.9964,7.9964,52,391.7153,413.566,7.9532,8.0772
2007-10-15,2007-10-15,Monday,XLG,Buy_on_Dip,1,8.4257,8.4257,True,8.4257,1,1,8.4257,8.4257,53,400.141,448.5643,8.4635,8.5108
2007-10-19,2007-10-19,Friday,XLG,Buy_on_Dip,1,8.3428,8.3428,True,8.3428,1,1,8.3428,8.3428,54,408.4838,442.9029,8.2019,8.427
2007-10-19,2007-10-19,Friday,XLG,Buy_on_Dip,2,8.2585,8.2585,True,8.2585,1,1,8.2585,8.2585,55,416.7423,451.1048,8.2019,8.427
2007-10-24,2007-10-24,Wednesday,XLG,Buy_on_Dip,1,8.2324,8.2324,True,8.2324,1,1,8.2324,8.2324,56,424.9747,465.3455,8.3097,8.3156
2007-10-25,2007-10-25,Thursday,XLG,Buy_on_Dip,1,8.2266,8.2266,True,8.2266,1,1,8.2266,8.2266,57,433.2013,473.6968,8.3105,8.3097
2007-11-01,2007-11-01,Thursday,XLG,Buy_on_Dip,1,8.3918,8.3918,True,8.3918,1,1,8.3918,8.3918,58,441.5931,479.3027,8.2638,8.4766
2007-11-01,2007-11-01,Thursday,XLG,Buy_on_Dip,2,8.3071,8.3071,True,8.3071,1,1,8.3071,8.3071,59,449.9002,487.5665,8.2638,8.4766
2007-11-02,2007-11-02,Friday,XLG,Buy_on_Dip,1,8.1812,8.1812,True,8.1812,1,1,8.1812,8.1812,60,458.0814,495.6116,8.2602,8.2638
2007-11-05,2007-11-05,Monday,XLG,Buy_on_Dip,1,8.1776,8.1776,True,8.1776,1,1,8.1776,8.1776,61,466.259,501.6944,8.2245,8.2602
2007-11-05,2007-11-05,Monday,XLG,Buy_on_Dip,2,8.095,8.095,True,8.095,1,1,8.095,8.095,62,474.354,509.9189,8.2245,8.2602
2007-11-05,2007-11-05,Monday,XLG,Buy_on_Dip,3,8.0124,8.0124,True,8.0124,1,1,8.0124,8.0124,63,482.3664,518.1434,8.2245,8.2602
2007-11-05,2007-11-05,Monday,XLG,Buy_on_Dip,4,7.9298,7.9298,True,7.9298,1,1,7.9298,7.9298,64,490.2962,526.3679,8.2245,8.2602
2007-11-05,2007-11-05,Monday,XLG,Buy_on_Dip,5,7.8472,7.8472,True,7.8472,1,1,7.8472,7.8472,65,498.1434,534.5924,8.2245,8.2602
2007-11-07,2007-11-07,Wednesday,XLG,Buy_on_Dip,1,8.2266,8.2266,True,8.2266,1,1,8.2266,8.2266,66,506.37,532.6221,8.07,8.3097
2007-11-07,2007-11-07,Wednesday,XLG,Buy_on_Dip,2,8.1435,8.1435,True,8.1435,1,1,8.1435,8.1435,67,514.5135,540.6922,8.07,8.3097
2007-11-08,2007-11-08,Thursday,XLG,Buy_on_Dip,1,7.9893,7.9893,True,7.9893,1,1,7.9893,7.9893,68,522.5028,545.9383,8.0285,8.07
2007-11-09,2007-11-09,Friday,XLG,Buy_on_Dip,1,7.9482,7.9482,True,7.9482,1,1,7.9482,7.9482,69,530.451,545.6713,7.9083,8.0285
2007-11-15,2007-11-15,Thursday,XLG,Buy_on_Dip,1,7.9828,7.9828,True,7.9828,1,1,7.9828,7.9828,70,538.4338,557.4047,7.9629,8.0635
2007-11-19,2007-11-19,Monday,XLG,Buy_on_Dip,1,7.928,7.928,True,7.928,1,1,7.928,7.928,71,546.3618,559.3669,7.8784,8.0081
2007-11-21,2007-11-21,Wednesday,XLG,Buy_on_Dip,1,7.8566,7.8566,True,7.8566,1,1,7.8566,7.8566,72,554.2184,561.3171,7.7961,7.936
2007-11-26,2007-11-26,Monday,XLG,Buy_on_Dip,1,7.8487,7.8487,True,7.8487,1,1,7.8487,7.8487,73,562.0671,563.1032,7.7137,7.928
2007-11-26,2007-11-26,Monday,XLG,Buy_on_Dip,2,7.7694,7.7694,True,7.7694,1,1,7.7694,7.7694,74,569.8365,570.817,7.7137,7.928
