Date,Date_add,Weekday,Symbol,Strategy,Buy_Level,Buy_Price,Buy Price,Executed,Executed_Price,Shares_Purchased,Shares Purchased,Dollars_Invested,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close
2005-10-05,2005-10-05,Wednesday,OEF,Buy_on_Dip,1,38.3324,38.3324,True,38.3324,1,1,38.3324,38.3324,1,38.3324,38.2898,38.2898,38.7196
2005-10-06,2005-10-06,Thursday,OEF,Buy_on_Dip,1,37.9069,37.9069,True,37.9069,1,1,37.9069,37.9069,2,76.2393,76.039,38.0195,38.2898
2005-10-20,2005-10-20,Thursday,OEF,Buy_on_Dip,1,37.9412,37.9412,True,37.9412,1,1,37.9412,37.9412,3,114.1805,113.4138,37.8046,38.3245
2005-11-04,2005-11-04,Friday,OEF,Buy_on_Dip,1,38.4285,38.4285,True,38.4285,1,1,38.4285,38.4285,4,152.609,155.7656,38.9414,38.8166
2006-01-20,2006-01-20,Friday,OEF,Buy_on_Dip,1,39.8901,39.8901,True,39.8901,1,1,39.8901,39.8901,5,192.4991,197.6874,39.5375,40.293
2006-02-02,2006-02-02,Thursday,OEF,Buy_on_Dip,1,39.8215,39.8215,True,39.8215,1,1,39.8215,39.8215,6,232.3206,239.0134,39.8356,40.2237
2006-02-16,2006-02-16,Thursday,OEF,Buy_on_Dip,1,39.9587,39.9587,True,39.9587,1,1,39.9587,39.9587,7,272.2793,284.089,40.5841,40.3624
2006-02-16,2006-02-16,Thursday,OEF,Buy_on_Dip,2,39.5551,39.5551,True,39.5551,1,1,39.5551,39.5551,8,311.8344,324.6732,40.5841,40.3624
2006-02-16,2006-02-16,Thursday,OEF,Buy_on_Dip,3,39.1515,39.1515,True,39.1515,1,1,39.1515,39.1515,9,350.9859,365.2573,40.5841,40.3624
2006-02-28,2006-02-28,Tuesday,OEF,Buy_on_Dip,1,40.2813,40.2813,True,40.2813,1,1,40.2813,40.2813,10,391.2672,403.0689,40.3069,40.6881
2006-04-07,2006-04-07,Friday,OEF,Buy_on_Dip,1,40.8243,40.8243,True,40.8243,1,1,40.8243,40.8243,11,432.0915,448.3207,40.7564,41.2366
2006-05-11,2006-05-11,Thursday,OEF,Buy_on_Dip,1,41.5202,41.5202,True,41.5202,1,1,41.5202,41.5202,12,473.6117,498.5143,41.5429,41.9396
2006-05-12,2006-05-12,Friday,OEF,Buy_on_Dip,1,41.1274,41.1274,True,41.1274,1,1,41.1274,41.1274,13,514.7391,532.9098,40.9931,41.5429
2006-05-17,2006-05-17,Wednesday,OEF,Buy_on_Dip,1,40.7416,40.7416,True,40.7416,1,1,40.7416,40.7416,14,555.4807,565.6207,40.4015,41.1531
2006-05-30,2006-05-30,Tuesday,OEF,Buy_on_Dip,1,40.466,40.466,True,40.466,1,1,40.466,40.466,15,595.9467,604.1431,40.2762,40.8747
2006-06-05,2006-06-05,Monday,OEF,Buy_on_Dip,1,40.6245,40.6245,True,40.6245,1,1,40.6245,40.6245,16,636.5712,645.8668,40.3667,41.0348
2006-06-08,2006-06-08,Thursday,OEF,Buy_on_Dip,1,39.7701,39.7701,True,39.7701,1,1,39.7701,39.7701,17,676.3413,683.7486,40.2205,40.1718
2006-06-13,2006-06-13,Tuesday,OEF,Buy_on_Dip,1,39.1706,39.1706,True,39.1706,1,1,39.1706,39.1706,18,715.5119,704.677,39.1487,39.5663
2006-07-03,2006-07-03,Monday,OEF,Buy_on_Dip,1,40.1363,40.1363,True,40.1363,1,1,40.1363,40.1363,19,755.6482,775.8675,40.8351,40.5418
2006-07-03,2006-07-03,Monday,OEF,Buy_on_Dip,2,39.7309,39.7309,True,39.7309,1,1,39.7309,39.7309,20,795.3791,816.7027,40.8351,40.5418
2006-07-03,2006-07-03,Monday,OEF,Buy_on_Dip,3,39.3255,39.3255,True,39.3255,1,1,39.3255,39.3255,21,834.7046,857.5378,40.8351,40.5418
2006-07-12,2006-07-12,Wednesday,OEF,Buy_on_Dip,1,40.3507,40.3507,True,40.3507,1,1,40.3507,40.3507,22,875.0553,894.3776,40.6535,40.7583
2006-07-13,2006-07-13,Thursday,OEF,Buy_on_Dip,1,40.247,40.247,True,40.247,1,1,40.247,40.247,23,915.3023,916.0734,39.8293,40.6535
