Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
SPYM,2021-01-04,41.07410548254329,41.07410548254329,39.92928042660652,40.35742568969727,3208100,2021,1,1,Monday,40.6087,40.91587448120117,-1.36,0.39,-2.41,-1.36,2.41,2,80.6043,40.5067,40.0976,39.6884,39.2792,38.8701,38.4609,38.0518,37.6426,37.2334,36.8243,36.4151,36.006,35.5968,35.1877,34.7785,34.3693,33.9602,33.551,33.1419,32.7327,32.3235,31.9144,31.5052,31.0961,30.6869,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-05,40.292272687841816,40.74833938051727,40.292272687841816,40.63665008544922,1929300,2021,1,1,Tuesday,40.4924,40.35742568969727,0.69,-0.16,-0.16,0.69,0.16,0,0.0,39.9539,39.5503,39.1467,38.7431,38.3396,37.936,37.5324,37.1288,36.7253,36.3217,35.9181,35.5145,35.111,34.7074,34.3038,33.9002,33.4967,33.0931,32.6895,32.2859,31.8824,31.4788,31.0752,30.6716,30.2681,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-06,40.4505015825859,41.24164331414045,40.3946587066086,40.86003494262695,3306300,2021,1,1,Wednesday,40.7367,40.63665008544922,0.55,-0.46,-0.6,0.55,0.6,0,0.0,40.2303,39.8239,39.4176,39.0112,38.6048,38.1985,37.7921,37.3857,36.9794,36.573,36.1666,35.7603,35.3539,34.9475,34.5412,34.1348,33.7284,33.3221,32.9157,32.5093,32.103,31.6966,31.2902,30.8839,30.4775,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-07,41.14855947852927,41.567398735318605,41.13925351750656,41.46501541137695,1535100,2021,1,1,Thursday,41.3301,40.86003494262695,1.48,0.71,0.68,1.48,-0.68,0,0.0,40.4514,40.0428,39.6342,39.2256,38.817,38.4084,37.9998,37.5912,37.1826,36.774,36.3654,35.9568,35.5482,35.1396,34.731,34.3224,33.9138,33.5052,33.0966,32.688,32.2794,31.8708,31.4622,31.0536,30.645,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-08,41.660475779500295,41.74424363735643,41.26956147653074,41.72563171386719,2278000,2021,1,1,Friday,41.6,41.46501541137695,0.63,0.47,-0.47,0.63,0.47,0,0.0,41.0504,40.6357,40.2211,39.8064,39.3918,38.9771,38.5625,38.1478,37.7332,37.3185,36.9039,36.4892,36.0746,35.6599,35.2453,34.8306,34.416,34.0013,33.5867,33.172,32.7574,32.3427,31.9281,31.5134,31.0988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-11,41.34402232850493,41.64186638046857,41.33471636619615,41.45571517944336,3002500,2021,1,2,Monday,41.4441,41.72563171386719,-0.65,-0.91,-0.94,-0.65,0.94,0,0.0,41.3084,40.8911,40.4739,40.0566,39.6394,39.2221,38.8048,38.3876,37.9703,37.5531,37.1358,36.7186,36.3013,35.884,35.4668,35.0495,34.6323,34.215,33.7978,33.3805,32.9632,32.546,32.1287,31.7115,31.2942,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-12,41.45570945035424,41.567398735318605,41.18579042369685,41.46501541137695,1769600,2021,1,2,Tuesday,41.4185,41.45571517944336,0.02,-0.0,-0.65,0.02,0.65,0,0.0,41.0412,40.6266,40.212,39.7975,39.3829,38.9684,38.5538,38.1393,37.7247,37.3101,36.8956,36.481,36.0665,35.6519,35.2374,34.8228,34.4082,33.9937,33.5791,33.1646,32.75,32.3355,31.9209,31.5063,31.0918,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-13,41.44640283224086,41.67909092997505,41.35332901336263,41.54878616333008,1363900,2021,1,2,Wednesday,41.5069,41.46501541137695,0.2,-0.04,-0.27,0.2,0.27,0,0.0,41.0504,40.6357,40.2211,39.8064,39.3918,38.9771,38.5625,38.1478,37.7332,37.3185,36.9039,36.4892,36.0746,35.6599,35.2453,34.8306,34.416,34.0013,33.5867,33.172,32.7574,32.3427,31.9281,31.5134,31.0988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-14,41.660470133223846,41.70701058725519,41.37193920124313,41.41847610473633,1756100,2021,1,2,Thursday,41.5395,41.54878616333008,-0.31,0.27,-0.43,-0.31,0.43,0,0.0,41.1333,40.7178,40.3023,39.8868,39.4713,39.0559,38.6404,38.2249,37.8094,37.3939,36.9784,36.5629,36.1474,35.732,35.3165,34.901,34.4855,34.07,33.6545,33.239,32.8235,32.4081,31.9926,31.5771,31.1616,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPYM,2021-01-15,41.20440358186274,41.31609286055362,40.89725362729014,41.10202026367188,1795300,2021,1,2,Friday,41.1299,41.41847610473633,-0.76,-0.52,-1.26,-0.76,1.26,1,41.0043,41.0043,40.5901,40.1759,39.7617,39.3476,38.9334,38.5192,38.105,37.6908,37.2766,36.8624,36.4483,36.0341,35.6199,35.2057,34.7915,34.3773,33.9632,33.549,33.1348,32.7206,32.3064,31.8922,31.478,31.0639,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
