Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
TQQQ,2020-01-02 05:00:00+00:00,21.25061819692948,21.760862350463867,21.133238446870383,21.760862350463867,65536000,2020,1,1,Thursday,21.4764,20.73318862915039,4.96,2.5,1.93,4.96,-1.93,20.5259,20.3185,20.1112,19.9039,19.6965,19.4892,19.2819,19.0745,18.8672,18.6599,18.4525,18.2452,18.0379,17.8305,17.6232,17.4159,17.0012,16.7939,16.5866,16.3792,16.1719,15.9646,15.7572,15.5499,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-03 05:00:00+00:00,20.91045427619482,21.55963873432346,20.898475968066904,21.169170379638672,72590000,2020,1,1,Friday,21.1344,21.760862350463867,-2.72,-3.91,-3.96,-2.72,3.96,21.5433,21.3256,21.108,20.8904,20.6728,20.4552,20.2376,20.02,19.8024,19.5848,19.3672,19.1496,18.932,18.7143,18.4967,18.2791,17.8439,17.6263,17.4087,17.1911,16.9735,16.7559,16.5383,16.3206,3,63.9769,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-06 05:00:00+00:00,20.66611076088474,21.57880338031629,20.589454340413926,21.571617126464844,64047600,2020,1,1,Monday,21.1015,21.169170379638672,1.9,-2.38,-2.74,1.9,2.74,20.9575,20.7458,20.5341,20.3224,20.1107,19.899,19.6873,19.4756,19.2639,19.0523,18.8406,18.6289,18.4172,18.2055,17.9938,17.7821,17.3587,17.147,16.9353,16.7236,16.512,16.3003,16.0886,15.8769,2,41.7033,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-07 05:00:00+00:00,21.593180507480973,21.746493381221057,21.35842096915617,21.545270919799805,53849600,2020,1,1,Tuesday,21.5608,21.571617126464844,-0.12,0.1,-0.99,-0.12,0.99,21.3559,21.1402,20.9245,20.7088,20.493,20.2773,20.0616,19.8459,19.6302,19.4145,19.1987,18.983,18.7673,18.5516,18.3359,18.1202,17.6887,17.473,17.2573,17.0416,16.8259,16.6101,16.3944,16.1787,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-08 05:00:00+00:00,21.55005630752268,22.34536734679068,21.44704907227261,22.0411376953125,79582400,2020,1,1,Wednesday,21.8459,21.545270919799805,2.3,0.02,-0.46,2.3,0.46,21.3298,21.1144,20.8989,20.6835,20.468,20.2526,20.0371,19.8216,19.6062,19.3907,19.1753,18.9598,18.7444,18.5289,18.3135,18.098,17.6671,17.4517,17.2362,17.0208,16.8053,16.5899,16.3744,16.159,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-09 05:00:00+00:00,22.57294424218394,22.72386106662961,22.21122087582049,22.596899032592773,72711600,2020,1,1,Thursday,22.5262,22.0411376953125,2.52,2.41,0.77,2.52,-0.77,21.8207,21.6003,21.3799,21.1595,20.9391,20.7187,20.4983,20.2778,20.0574,19.837,19.6166,19.3962,19.1758,18.9554,18.735,18.5146,18.0737,17.8533,17.6329,17.4125,17.1921,16.9717,16.7513,16.5309,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-10 05:00:00+00:00,22.850822950379296,22.869987513633664,22.30943591806021,22.412443161010746,68802000,2020,1,1,Friday,22.6107,22.596899032592773,-0.82,1.12,-1.27,-0.82,1.27,22.3709,22.145,21.919,21.693,21.4671,21.2411,21.0151,20.7891,20.5632,20.3372,20.1112,19.8853,19.6593,19.4333,19.2074,18.9814,18.5295,18.3035,18.0775,17.8516,17.6256,17.3996,17.1736,16.9477,1,22.3709,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-13 05:00:00+00:00,22.692712520837546,23.207746741100816,22.59209951016448,23.195770263671875,58279200,2020,1,2,Monday,22.9221,22.412443161010746,3.5,1.25,0.8,3.5,-0.8,22.1883,21.9642,21.7401,21.5159,21.2918,21.0677,20.8436,20.6194,20.3953,20.1712,19.9471,19.7229,19.4988,19.2747,19.0506,18.8265,18.3782,18.1541,17.93,17.7058,17.4817,17.2576,17.0335,16.8093,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-14 05:00:00+00:00,23.135889699202536,23.272434012911503,22.810099437084062,22.92508316040039,72868800,2020,1,2,Tuesday,23.0359,23.195770263671875,-1.17,-0.26,-1.66,-1.17,1.66,22.9638,22.7319,22.4999,22.2679,22.036,21.804,21.5721,21.3401,21.1082,20.8762,20.6442,20.4123,20.1803,19.9484,19.7164,19.4844,19.0205,18.7886,18.5566,18.3247,18.0927,17.8607,17.6288,17.3968,1,22.9638,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TQQQ,2020-01-15 05:00:00+00:00,22.944249074285537,23.2676433281476,22.714279786480663,22.9394588470459,66501600,2020,1,2,Wednesday,22.9664,22.92508316040039,0.06,0.08,-0.92,0.06,0.92,22.6958,22.4666,22.2373,22.0081,21.7788,21.5496,21.3203,21.0911,20.8618,20.6326,20.4033,20.1741,19.9448,19.7156,19.4863,19.2571,18.7986,18.5693,18.3401,18.1108,17.8816,17.6523,17.4231,17.1938,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
