Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
ALLY,2015-01-02 05:00:00+00:00,18.424628444102662,18.5176812939498,18.18424018977446,18.33932876586914,2021000,2015,1,1,Friday,18.3665,18.316064834594727,0.13,0.59,-0.72,0.13,0.72,18.1329,17.9497,17.7666,17.5834,17.4003,17.2171,17.0339,16.8508,16.6676,16.4845,16.3013,16.1181,15.935,15.7518,15.5687,15.3855,15.0192,14.836,14.6529,14.4697,14.2865,14.1034,13.9202,13.737,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-05 05:00:00+00:00,18.191991604702825,18.347081644869828,17.990376623153256,18.18423843383789,4285800,2015,1,1,Monday,18.1784,18.33932876586914,-0.85,-0.8,-1.9,-0.85,1.9,18.1559,17.9725,17.7891,17.6058,17.4224,17.239,17.0556,16.8722,16.6888,16.5054,16.322,16.1386,15.9552,15.7718,15.5884,15.405,15.0382,14.8549,14.6715,14.4881,14.3047,14.1213,13.9379,13.7545,1,18.1559,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-06 05:00:00+00:00,18.238511769411083,18.33931921743444,17.54060984272929,17.881805419921875,6904300,2015,1,1,Tuesday,18.0001,18.18423843383789,-1.66,0.3,-3.54,-1.66,3.54,18.0024,17.8206,17.6387,17.4569,17.275,17.0932,16.9113,16.7295,16.5477,16.3658,16.184,16.0021,15.8203,15.6384,15.4566,15.2748,14.9111,14.7292,14.5474,14.3655,14.1837,14.0019,13.82,13.6382,3,53.4617,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-07 05:00:00+00:00,18.052405964367928,18.19198517633829,17.800385107913318,17.897315979003906,5952500,2015,1,1,Wednesday,17.9855,17.881805419921875,0.09,0.95,-0.46,0.09,0.46,17.703,17.5242,17.3454,17.1665,16.9877,16.8089,16.6301,16.4513,16.2724,16.0936,15.9148,15.736,15.5572,15.3784,15.1995,15.0207,14.6631,14.4843,14.3054,14.1266,13.9478,13.769,13.5902,13.4114,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-08 05:00:00+00:00,18.09118427699723,18.35483646022868,17.95160353539843,18.2385196685791,7923100,2015,1,1,Thursday,18.159,17.897315979003906,1.91,1.08,0.3,1.91,-0.3,17.7183,17.5394,17.3604,17.1814,17.0025,16.8235,16.6445,16.4655,16.2866,16.1076,15.9286,15.7496,15.5707,15.3917,15.2127,15.0337,14.6758,14.4968,14.3179,14.1389,13.9599,13.7809,13.602,13.423,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-09 05:00:00+00:00,18.61072969905664,18.61072969905664,17.85854657284368,18.51767539978028,15101400,2015,1,1,Friday,18.3994,18.2385196685791,1.53,2.04,-2.08,1.53,2.08,18.0561,17.8737,17.6914,17.509,17.3266,17.1442,16.9618,16.7794,16.5971,16.4147,16.2323,16.0499,15.8675,15.6851,15.5027,15.3204,14.9556,14.7732,14.5908,14.4084,14.226,14.0437,13.8613,13.6789,2,35.9299,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-12 05:00:00+00:00,18.30055362128933,18.30055362128933,17.401035016835362,17.501842498779297,8311300,2015,1,2,Monday,17.876,18.51767539978028,-5.49,-1.17,-6.03,-5.49,6.03,18.3325,18.1473,17.9621,17.777,17.5918,17.4066,17.2214,17.0363,16.8511,16.6659,16.4807,16.2956,16.1104,15.9252,15.74,15.5548,15.1845,14.9993,14.8141,14.629,14.4438,14.2586,14.0734,13.8883,6,107.2173,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-13 05:00:00+00:00,17.742233525489798,17.75774282641968,16.214602881056727,16.796188354492188,14272100,2015,1,2,Tuesday,17.1277,17.501842498779297,-4.03,1.37,-7.35,-4.03,7.35,17.3268,17.1518,16.9768,16.8018,16.6268,16.4517,16.2767,16.1017,15.9267,15.7517,15.5766,15.4016,15.2266,15.0516,14.8766,14.7015,14.3515,14.1765,14.0015,13.8265,13.6514,13.4764,13.3014,13.1264,7,117.6124,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-14 05:00:00+00:00,16.55579369021313,16.60232009592351,16.03624414279593,16.299896240234375,10498600,2015,1,2,Wednesday,16.3736,16.796188354492188,-2.95,-1.43,-4.52,-2.95,4.52,16.6282,16.4603,16.2923,16.1243,15.9564,15.7884,15.6205,15.4525,15.2845,15.1166,14.9486,14.7806,14.6127,14.4447,14.2768,14.1088,13.7729,13.6049,13.437,13.269,13.101,12.9331,12.7651,12.5971,4,65.5051,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2015-01-15 05:00:00+00:00,16.338673771062606,16.66436168419883,15.78810691833496,15.78810691833496,5583300,2015,1,2,Thursday,16.1448,16.299896240234375,-3.14,0.24,-3.14,-3.14,3.14,16.1369,15.9739,15.8109,15.6479,15.4849,15.3219,15.1589,14.9959,14.8329,14.6699,14.5069,14.3439,14.1809,14.0179,13.8549,13.6919,13.3659,13.2029,13.0399,12.8769,12.7139,12.5509,12.3879,12.2249,3,47.9217,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
