Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
ALLY,2016-01-04,14.028002136625735,14.31834139925868,14.00508004063593,14.249576568603516,3573500,2016,1,1,Monday,14.1503,14.241942405700684,0.05,-1.5,-1.66,0.05,1.66,1,14.0995,14.0995,13.9571,13.8147,13.6723,13.5298,13.3874,13.245,13.1026,12.9602,12.8177,12.6753,12.5329,12.3905,12.2481,12.1057,11.9632,11.8208,11.6784,11.536,11.3936,11.2511,11.1087,10.9663,10.8239,10.6815,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-05,14.27249773809818,14.50935355202707,14.012719829667464,14.226655006408691,5501300,2016,1,1,Tuesday,14.2553,14.249576568603516,-0.16,0.16,-1.66,-0.16,1.66,1,14.1071,14.1071,13.9646,13.8221,13.6796,13.5371,13.3946,13.2521,13.1096,12.9671,12.8246,12.6821,12.5396,12.3971,12.2546,12.1121,11.9696,11.8271,11.6847,11.5422,11.3997,11.2572,11.1147,10.9722,10.8297,10.6872,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-06,13.997442245483398,14.16553473631449,13.905756757134222,13.997442245483398,5998300,2016,1,1,Wednesday,14.0165,14.226655006408691,-1.61,-1.61,-2.26,-1.61,2.26,2,28.0265,14.0844,13.9421,13.7999,13.6576,13.5153,13.3731,13.2308,13.0885,12.9463,12.804,12.6617,12.5195,12.3772,12.2349,12.0927,11.9504,11.8081,11.6659,11.5236,11.3813,11.2391,11.0968,10.9545,10.8123,10.67,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-07,13.76822705452093,13.829351199135186,13.24867109664247,13.302154541015623,6885600,2016,1,1,Thursday,13.5371,13.997442245483398,-4.97,-1.64,-5.35,-4.97,5.35,5,67.8876,13.8575,13.7175,13.5775,13.4375,13.2976,13.1576,13.0176,12.8776,12.7377,12.5977,12.4577,12.3177,12.1778,12.0378,11.8978,11.7579,11.6179,11.4779,11.3379,11.198,11.058,10.918,10.778,10.6381,10.4981,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-08,13.393842616497665,13.447326065382676,12.836083110361152,12.897207260131836,5316100,2016,1,1,Friday,13.1436,13.302154541015623,-3.04,0.69,-3.5,-3.04,3.5,3,39.1083,13.1691,13.0361,12.9031,12.7701,12.637,12.504,12.371,12.238,12.105,11.9719,11.8389,11.7059,11.5729,11.4399,11.3068,11.1738,11.0408,10.9078,10.7747,10.6417,10.5087,10.3757,10.2427,10.1096,9.9766,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-11,12.92012966657425,12.98507489697214,12.667992360677449,12.83608341217041,4829500,2016,1,2,Monday,12.8523,12.897207260131836,-0.47,0.18,-1.78,-0.47,1.78,1,12.7682,12.7682,12.6393,12.5103,12.3813,12.2523,12.1234,11.9944,11.8654,11.7365,11.6075,11.4785,11.3495,11.2206,11.0916,10.9626,10.8337,10.7047,10.5757,10.4467,10.3178,10.1888,10.0598,9.9308,9.8019,9.6729,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-12,12.94304661239505,13.042372772036636,12.194274965473294,12.438772201538086,6724100,2016,1,2,Tuesday,12.6546,12.83608341217041,-3.1,0.83,-5.0,-3.1,5.0,5,62.255,12.7077,12.5794,12.451,12.3226,12.1943,12.0659,11.9376,11.8092,11.6808,11.5525,11.4241,11.2958,11.1674,11.039,10.9107,10.7823,10.6539,10.5256,10.3972,10.2689,10.1405,10.0121,9.8838,9.7554,9.6271,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-13,12.645067487229644,12.88956549581179,12.018544710277444,12.148433685302734,8384700,2016,1,2,Wednesday,12.4254,12.438772201538086,-2.33,1.66,-3.38,-2.33,3.38,3,36.57,12.3144,12.19,12.0656,11.9412,11.8168,11.6924,11.5681,11.4437,11.3193,11.1949,11.0705,10.9461,10.8217,10.6973,10.573,10.4486,10.3242,10.1998,10.0754,9.951,9.8266,9.7022,9.5779,9.4535,9.3291,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-14,12.171356502410347,12.515179251446517,11.95742127875722,12.46933650970459,4407000,2016,1,2,Thursday,12.2783,12.148433685302734,2.64,0.19,-1.57,2.64,1.57,1,12.0269,12.0269,11.9055,11.784,11.6625,11.541,11.4195,11.298,11.1766,11.0551,10.9336,10.8121,10.6906,10.5691,10.4477,10.3262,10.2047,10.0832,9.9617,9.8402,9.7187,9.5973,9.4758,9.3543,9.2328,9.1113,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALLY,2016-01-15,12.087307511392927,12.278320592059222,11.919216525039682,12.217196464538574,6607800,2016,1,2,Friday,12.1255,12.46933650970459,-2.02,-3.06,-4.41,-2.02,4.41,4,48.6304,12.3446,12.2199,12.0953,11.9706,11.8459,11.7212,11.5965,11.4718,11.3471,11.2224,11.0977,10.973,10.8483,10.7236,10.5989,10.4742,10.3495,10.2249,10.1002,9.9755,9.8508,9.7261,9.6014,9.4767,9.352,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
