Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
XLG,2007-01-03,7.722243401568176,7.748591678195877,7.642486162421923,7.680228233337402,1092000,2007,1,1,Wednesday,7.6984,7.683787822723389,-0.05,0.5,-0.54,-0.05,0.54,0,0.0,7.6069,7.5301,7.4533,7.3764,7.2996,7.2228,7.1459,7.0691,6.9922,6.9154,6.8386,6.7617,6.6849,6.6081,6.5312,6.4544,6.3775,6.3007,6.2239,6.147,6.0702,5.9934,5.9165,5.8397,5.7628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-04,7.661002895346523,7.71868428781322,7.644623591139588,7.705153942108154,548000,2007,1,1,Thursday,7.6824,7.680228233337402,0.32,-0.25,-0.46,0.32,0.46,0,0.0,7.6034,7.5266,7.4498,7.373,7.2962,7.2194,7.1426,7.0658,6.989,6.9122,6.8354,6.7586,6.6818,6.605,6.5282,6.4514,6.3746,6.2978,6.221,6.1442,6.0674,5.9906,5.9138,5.837,5.7602,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-05,7.6873473230459215,7.6873473230459215,7.641059071267055,7.672392845153809,1498000,2007,1,1,Friday,7.672,7.705153942108154,-0.43,-0.23,-0.83,-0.43,0.83,0,0.0,7.6281,7.5511,7.474,7.3969,7.3199,7.2428,7.1658,7.0887,7.0117,6.9346,6.8576,6.7805,6.7035,6.6264,6.5494,6.4723,6.3953,6.3182,6.2412,6.1641,6.0871,6.01,5.933,5.8559,5.7789,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-08,7.65957541908354,7.702302990468064,7.641060251338864,7.683787822723389,525000,2007,1,2,Monday,7.6717,7.672392845153809,0.15,-0.17,-0.41,0.15,0.41,0,0.0,7.5957,7.5189,7.4422,7.3655,7.2888,7.212,7.1353,7.0586,6.9819,6.9052,6.8284,6.7517,6.675,6.5983,6.5215,6.4448,6.3681,6.2914,6.2146,6.1379,6.0612,5.9845,5.9077,5.831,5.7543,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-09,7.691619739958695,7.6980293840252605,7.646044576362695,7.672392845153809,480000,2007,1,2,Tuesday,7.677,7.683787822723389,-0.15,0.1,-0.49,-0.15,0.49,0,0.0,7.6069,7.5301,7.4533,7.3764,7.2996,7.2228,7.1459,7.0691,6.9922,6.9154,6.8386,6.7617,6.6849,6.6081,6.5312,6.4544,6.3775,6.3007,6.2239,6.147,6.0702,5.9934,5.9165,5.8397,5.7628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-10,7.646757429602048,7.68378776481231,7.631802949513101,7.673818111419678,270000,2007,1,2,Wednesday,7.659,7.672392845153809,0.02,-0.33,-0.53,0.02,0.53,0,0.0,7.5957,7.5189,7.4422,7.3655,7.2888,7.212,7.1353,7.0586,6.9819,6.9052,6.8284,6.7517,6.675,6.5983,6.5215,6.4448,6.3681,6.2914,6.2146,6.1379,6.0612,5.9845,5.9077,5.831,5.7543,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-11,7.690194125714362,7.732921682303336,7.690194125714362,7.719391345977783,282000,2007,1,2,Thursday,7.7082,7.673818111419678,0.59,0.21,0.21,0.59,-0.21,0,0.0,7.5971,7.5203,7.4436,7.3669,7.2901,7.2134,7.1367,7.0599,6.9832,6.9064,6.8297,6.753,6.6762,6.5995,6.5227,6.446,6.3693,6.2925,6.2158,6.1391,6.0623,5.9856,5.9088,5.8321,5.7554,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-12,7.72295510950853,7.768530961652697,7.717970282514562,7.759985446929932,197000,2007,1,2,Friday,7.7424,7.719391345977783,0.53,0.05,-0.02,0.53,0.02,0,0.0,7.6422,7.565,7.4878,7.4106,7.3334,7.2562,7.179,7.1018,7.0246,6.9475,6.8703,6.7931,6.7159,6.6387,6.5615,6.4843,6.4071,6.3299,6.2527,6.1755,6.0983,6.0211,5.9439,5.8667,5.7895,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-16,7.774226462641946,7.776363010815338,7.749302331057866,7.767817497253418,335000,2007,1,3,Tuesday,7.7669,7.759985446929932,0.1,0.18,-0.14,0.1,0.14,0,0.0,7.6824,7.6048,7.5272,7.4496,7.372,7.2944,7.2168,7.1392,7.0616,6.984,6.9064,6.8288,6.7512,6.6736,6.596,6.5184,6.4408,6.3632,6.2856,6.208,6.1304,6.0528,5.9752,5.8976,5.82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2007-01-17,7.752865763750991,7.779214043737245,7.740047828434844,7.747880935668945,9729000,2007,1,3,Wednesday,7.755,7.767817497253418,-0.26,-0.19,-0.36,-0.26,0.36,0,0.0,7.6901,7.6125,7.5348,7.4571,7.3794,7.3017,7.2241,7.1464,7.0687,6.991,6.9134,6.8357,6.758,6.6803,6.6026,6.525,6.4473,6.3696,6.2919,6.2143,6.1366,6.0589,5.9812,5.9035,5.8259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
