Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
HSBC,2015-01-02 05:00:00+00:00,25.0317528220407,25.04763057106808,24.793606774486346,24.9100341796875,1446500,2015,1,1,Friday,24.9458,24.99470901489257,-0.34,0.15,-0.8,-0.34,0.8,24.7448,24.4948,24.2449,23.9949,23.745,23.495,23.2451,22.9951,22.7452,22.4952,22.2453,21.9953,21.7454,21.4954,21.2455,20.9956,20.4957,20.2457,19.9958,19.7458,19.4959,19.2459,18.996,18.746,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-05 05:00:00+00:00,24.481373246262915,24.52371122199783,24.237935942144546,24.33848762512207,2599600,2015,1,1,Monday,24.3954,24.9100341796875,-2.29,-1.72,-2.7,-2.29,2.7,24.6609,24.4118,24.1627,23.9136,23.6645,23.4154,23.1663,22.9172,22.6681,22.419,22.1699,21.9208,21.6717,21.4226,21.1735,20.9244,20.4262,20.1771,19.928,19.6789,19.4298,19.1807,18.9316,18.6825,2,49.0728,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-06 05:00:00+00:00,24.04742027693343,24.1744321916272,23.81985869308044,23.98391532897949,3408100,2015,1,1,Tuesday,24.0064,24.33848762512207,-1.46,-1.2,-2.13,-1.46,2.13,24.0951,23.8517,23.6083,23.3649,23.1216,22.8782,22.6348,22.3914,22.148,21.9046,21.6613,21.4179,21.1745,20.9311,20.6877,20.4443,19.9576,19.7142,19.4708,19.2274,18.984,18.7406,18.4973,18.2539,2,47.9468,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-07 05:00:00+00:00,24.05799809986875,24.19559447086232,23.93627947555003,24.169132232666016,2122400,2015,1,1,Wednesday,24.0898,23.98391532897949,0.77,0.31,-0.2,0.77,0.2,23.7441,23.5042,23.2644,23.0246,22.7847,22.5449,22.305,22.0652,21.8254,21.5855,21.3457,21.1058,20.866,20.6262,20.3863,20.1465,19.6668,19.427,19.1871,18.9473,18.7075,18.4676,18.2278,17.9879,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-08 05:00:00+00:00,24.14797023550265,24.349069559419217,24.14797023550265,24.248519897460938,1601600,2015,1,1,Thursday,24.2234,24.169132232666016,0.33,-0.09,-0.09,0.33,0.09,23.9274,23.6857,23.4441,23.2024,22.9607,22.719,22.4773,22.2356,21.9939,21.7522,21.5105,21.2688,21.0271,20.7855,20.5438,20.3021,19.8187,19.577,19.3353,19.0936,18.8519,18.6102,18.3685,18.1268,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-09 05:00:00+00:00,24.08975226183424,24.19559516128368,23.99449385420829,24.121505737304688,1401900,2015,1,1,Friday,24.1003,24.248519897460938,-0.52,-0.65,-1.05,-0.52,1.05,24.006,23.7635,23.5211,23.2786,23.0361,22.7936,22.5511,22.3086,22.0662,21.8237,21.5812,21.3387,21.0962,20.8537,20.6112,20.3688,19.8838,19.6413,19.3988,19.1563,18.9138,18.6714,18.4289,18.1864,1,24.006,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-12 05:00:00+00:00,24.19029696446919,24.21675717923,24.01036467779672,24.142667770385746,1603100,2015,1,2,Monday,24.14,24.121505737304688,0.09,0.29,-0.46,0.09,0.46,23.8803,23.6391,23.3979,23.1566,22.9154,22.6742,22.433,22.1918,21.9506,21.7094,21.4681,21.2269,20.9857,20.7445,20.5033,20.2621,19.7796,19.5384,19.2972,19.056,18.8148,18.5736,18.3323,18.0911,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-13 05:00:00+00:00,24.32790402459319,24.375533239651183,24.05271322856768,24.1903076171875,1884300,2015,1,2,Tuesday,24.2366,24.142667770385746,0.2,0.77,-0.37,0.2,0.37,23.9012,23.6598,23.4184,23.177,22.9355,22.6941,22.4527,22.2113,21.9698,21.7284,21.487,21.2455,21.0041,20.7627,20.5213,20.2798,19.797,19.5556,19.3141,19.0727,18.8313,18.5899,18.3484,18.107,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-14 05:00:00+00:00,23.81985534428245,24.01037218014568,23.735181419319417,23.94157600402832,2740800,2015,1,2,Wednesday,23.8767,24.1903076171875,-1.03,-1.53,-1.88,-1.03,1.88,23.9484,23.7065,23.4646,23.2227,22.9808,22.7389,22.497,22.2551,22.0132,21.7713,21.5294,21.2875,21.0456,20.8037,20.5618,20.3199,19.8361,19.5941,19.3522,19.1103,18.8684,18.6265,18.3846,18.1427,1,23.9484,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2015-01-15 05:00:00+00:00,23.862200414819824,24.036839553790017,23.793402199450373,23.95216560363769,2449700,2015,1,2,Thursday,23.9112,23.94157600402832,0.04,-0.33,-0.62,0.04,0.62,23.7022,23.4627,23.2233,22.9839,22.7445,22.5051,22.2657,22.0262,21.7868,21.5474,21.308,21.0686,20.8292,20.5898,20.3503,20.1109,19.6321,19.3927,19.1533,18.9138,18.6744,18.435,18.1956,17.9562,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
