Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
SPLG,2019-01-02 05:00:00+00:00,25.74834941857534,26.26779431243032,25.739393265966115,26.16032218933105,2272443,2019,1,1,Wednesday,25.979,26.16032218933105,0.0,-1.57,-1.61,0.0,1.61,25.8987,25.6371,25.3755,25.1139,24.8523,24.5907,24.3291,24.0675,23.8059,23.5443,23.2827,23.0211,22.7595,22.4979,22.2363,21.9747,21.4515,21.1899,20.9283,20.6667,20.4051,20.1434,19.8818,19.6202,1,25.8987,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-03 05:00:00+00:00,25.93641491892162,25.999107966447227,25.488617685861144,25.542354583740234,733634,2019,1,1,Thursday,25.7416,26.16032218933105,-2.36,-0.86,-2.57,-2.36,2.57,25.8987,25.6371,25.3755,25.1139,24.8523,24.5907,24.3291,24.0675,23.8059,23.5443,23.2827,23.0211,22.7595,22.4979,22.2363,21.9747,21.4515,21.1899,20.9283,20.6667,20.4051,20.1434,19.8818,19.6202,2,51.5358,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-04 05:00:00+00:00,25.91850951486437,26.4916895412638,25.86477260623101,26.420042037963867,1344950,2019,1,1,Friday,26.1738,25.542354583740234,3.44,1.47,1.26,3.44,-1.26,25.2869,25.0315,24.7761,24.5207,24.2652,24.0098,23.7544,23.499,23.2435,22.9881,22.7327,22.4773,22.2218,21.9664,21.711,21.4556,20.9447,20.6893,20.4339,20.1785,19.923,19.6676,19.4122,19.1568,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-07 05:00:00+00:00,26.464818082719347,26.823057266763684,26.37525999491929,26.661849975585938,772615,2019,1,1,Monday,26.5812,26.420042037963867,0.92,0.17,-0.17,0.92,0.17,26.1558,25.8916,25.6274,25.3632,25.099,24.8348,24.5706,24.3064,24.0422,23.778,23.5138,23.2496,22.9854,22.7212,22.457,22.1928,21.6644,21.4002,21.136,20.8718,20.6076,20.3434,20.0792,19.815,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-08 05:00:00+00:00,26.97531397370505,26.97531397370505,26.641167329057048,26.939489364624023,535745,2019,1,1,Tuesday,26.8828,26.661849975585938,1.04,1.18,-0.08,1.04,0.08,26.3952,26.1286,25.862,25.5954,25.3288,25.0621,24.7955,24.5289,24.2623,23.9957,23.729,23.4624,23.1958,22.9292,22.6626,22.396,21.8627,21.5961,21.3295,21.0629,20.7962,20.5296,20.263,19.9964,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-09 05:00:00+00:00,27.1275589227786,27.17833891085074,26.90366029201897,27.07382202148437,934537,2019,1,1,Wednesday,27.0708,26.939489364624023,0.5,0.7,-0.13,0.5,0.13,26.6701,26.4007,26.1313,25.8619,25.5925,25.3231,25.0537,24.7843,24.5149,24.2455,23.9761,23.7068,23.4374,23.168,22.8986,22.6292,22.0904,21.821,21.5516,21.2822,21.0128,20.7434,20.474,20.2046,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-10 05:00:00+00:00,26.939485954926383,27.20816365618236,26.82305940657177,27.19920921325684,371870,2019,1,1,Thursday,27.0425,27.07382202148437,0.46,-0.5,-0.93,0.46,0.93,26.8031,26.5323,26.2616,25.9909,25.7201,25.4494,25.1787,24.9079,24.6372,24.3664,24.0957,23.825,23.5542,23.2835,23.0127,22.742,22.2005,21.9298,21.6591,21.3883,21.1176,20.8468,20.5761,20.3054,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-11 05:00:00+00:00,27.07382480555437,27.19920921325684,27.01113345580872,27.19920921325684,399816,2019,1,1,Friday,27.1208,27.19920921325684,0.0,-0.46,-0.69,0.0,0.69,26.9272,26.6552,26.3832,26.1112,25.8392,25.5673,25.2953,25.0233,24.7513,24.4793,24.2073,23.9353,23.6633,23.3913,23.1193,22.8473,22.3034,22.0314,21.7594,21.4874,21.2154,20.9434,20.6714,20.3994,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-14 05:00:00+00:00,26.984263203573608,27.12352852591697,26.93482757576175,27.038000106811523,909184,2019,1,2,Monday,27.0202,27.19920921325684,-0.59,-0.79,-0.97,-0.59,0.97,26.9272,26.6552,26.3832,26.1112,25.8392,25.5673,25.2953,25.0233,24.7513,24.4793,24.2073,23.9353,23.6633,23.3913,23.1193,22.8473,22.3034,22.0314,21.7594,21.4874,21.2154,20.9434,20.6714,20.3994,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPLG,2019-01-15 05:00:00+00:00,27.100691652273063,27.360413186994503,27.100691652273063,27.34250259399414,802416,2019,1,2,Tuesday,27.2261,27.038000106811523,1.13,0.23,0.23,1.13,-0.23,26.7676,26.4972,26.2269,25.9565,25.6861,25.4157,25.1453,24.875,24.6046,24.3342,24.0638,23.7934,23.5231,23.2527,22.9823,22.7119,22.1712,21.9008,21.6304,21.36,21.0896,20.8193,20.5489,20.2785,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
