Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
NVDA,2005-01-03 05:00:00+00:00,0.1862808812228095,0.1888784122052935,0.1794042329051193,0.1801680028438568,1066716000,2005,1,1,Monday,0.1837,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-04 05:00:00+00:00,0.1814672274401658,0.1817725468733383,0.168936151154363,0.1716868132352829,790224000,2005,1,1,Tuesday,0.176,0.1801680028438568,-4.71,0.72,-6.23,-4.71,6.23,6,1.0432,0.1784,0.1766,0.1748,0.173,0.1712,0.1694,0.1676,0.1658,0.164,0.1622,0.1603,0.1585,0.1567,0.1549,0.1531,0.1513,0.1477,0.1459,0.1441,0.1423,0.1405,0.1387,0.1369,0.1351,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-05 05:00:00+00:00,0.1698529942106769,0.1753543032749114,0.1689361070895286,0.1732913106679916,724812000,2005,1,1,Wednesday,0.1719,0.1716868132352829,0.93,-1.07,-1.6,0.93,1.6,1,0.17,0.17,0.1683,0.1665,0.1648,0.1631,0.1614,0.1597,0.158,0.1562,0.1545,0.1528,0.1511,0.1494,0.1477,0.1459,0.1442,0.1408,0.1391,0.1373,0.1356,0.1339,0.1322,0.1305,0.1288,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-06 05:00:00+00:00,0.1763473228705019,0.1784103158457541,0.1703875760129513,0.1716106981039047,563568000,2005,1,1,Thursday,0.1742,0.1732913106679916,-0.97,1.76,-1.68,-0.97,1.68,1,0.1716,0.1716,0.1698,0.1681,0.1664,0.1646,0.1629,0.1612,0.1594,0.1577,0.156,0.1542,0.1525,0.1508,0.149,0.1473,0.1456,0.1421,0.1404,0.1386,0.1369,0.1352,0.1334,0.1317,0.13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-07 05:00:00+00:00,0.1719921253518588,0.1732913484969596,0.1658031461800642,0.168324589729309,763092000,2005,1,1,Friday,0.1699,0.1716106981039047,-1.91,0.22,-3.38,-1.91,3.38,3,0.5045,0.1699,0.1682,0.1665,0.1647,0.163,0.1613,0.1596,0.1579,0.1562,0.1544,0.1527,0.151,0.1493,0.1476,0.1459,0.1442,0.1407,0.139,0.1373,0.1356,0.1339,0.1321,0.1304,0.1287,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-10 05:00:00+00:00,0.1688600262160124,0.1703875658888511,0.1677139205937114,0.1687069088220596,579552000,2005,1,2,Monday,0.1689,0.168324589729309,0.23,0.32,-0.36,0.23,0.36,0,0.0,0.1666,0.165,0.1633,0.1616,0.1599,0.1582,0.1565,0.1549,0.1532,0.1515,0.1498,0.1481,0.1464,0.1448,0.1431,0.1414,0.138,0.1363,0.1347,0.133,0.1313,0.1296,0.1279,0.1262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-11 05:00:00+00:00,0.1671023376523893,0.1680192247999033,0.1609894743074152,0.1635109037160873,1093380000,2005,1,2,Tuesday,0.1649,0.1687069088220596,-3.08,-0.95,-4.57,-3.08,4.57,4,0.658,0.167,0.1653,0.1636,0.162,0.1603,0.1586,0.1569,0.1552,0.1535,0.1518,0.1501,0.1485,0.1468,0.1451,0.1434,0.1417,0.1383,0.1367,0.135,0.1333,0.1316,0.1299,0.1282,0.1265,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-12 05:00:00+00:00,0.1649632504216023,0.1655739028326743,0.1581627180353972,0.1621355861425399,1057800000,2005,1,2,Wednesday,0.1627,0.1635109037160873,-0.84,0.89,-3.27,-0.84,3.27,3,0.4807,0.1619,0.1602,0.1586,0.157,0.1553,0.1537,0.1521,0.1504,0.1488,0.1472,0.1455,0.1439,0.1423,0.1406,0.139,0.1373,0.1341,0.1324,0.1308,0.1292,0.1275,0.1259,0.1243,0.1226,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-13 05:00:00+00:00,0.1625180328526896,0.1680954470909551,0.1589265963247584,0.1638172566890716,898764000,2005,1,2,Thursday,0.1633,0.1621355861425399,1.04,0.24,-1.98,1.04,1.98,1,0.1605,0.1605,0.1589,0.1573,0.1557,0.154,0.1524,0.1508,0.1492,0.1475,0.1459,0.1443,0.1427,0.1411,0.1394,0.1378,0.1362,0.133,0.1313,0.1297,0.1281,0.1265,0.1248,0.1232,0.1216,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2005-01-14 05:00:00+00:00,0.1668731161973651,0.1672554656042852,0.1627471309411276,0.164351686835289,573912000,2005,1,2,Friday,0.1653,0.1638172566890716,0.33,1.87,-0.65,0.33,0.65,0,0.0,0.1622,0.1605,0.1589,0.1573,0.1556,0.154,0.1524,0.1507,0.1491,0.1474,0.1458,0.1442,0.1425,0.1409,0.1392,0.1376,0.1343,0.1327,0.1311,0.1294,0.1278,0.1261,0.1245,0.1229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
