Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
OEF,2005-01-03 05:00:00+00:00,39.311868364246,39.496463537357165,38.922168312583565,38.990535736083984,97500,2005,1,1,Monday,39.1803,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-04 05:00:00+00:00,39.03157885642391,39.20933581845469,38.54616310621345,38.635040283203125,126900,2005,1,1,Tuesday,38.8555,38.990535736083984,-0.91,0.11,-1.14,-0.91,1.14,1,38.6006,38.6006,38.2107,37.8208,37.4309,37.041,36.6511,36.2612,35.8713,35.4814,35.0915,34.7016,34.3117,33.9218,33.5319,33.142,32.7521,31.9722,31.5823,31.1924,30.8025,30.4126,30.0227,29.6328,29.2429,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-05 05:00:00+00:00,38.69656889691124,38.86749014222984,38.53248596191406,38.53248596191406,554000,2005,1,1,Wednesday,38.6573,38.635040283203125,-0.27,0.16,-0.27,-0.27,0.27,0,0.0,38.2487,37.8623,37.476,37.0896,36.7033,36.3169,35.9306,35.5442,35.1579,34.7715,34.3852,33.9988,33.6125,33.2261,32.8398,32.4534,31.6807,31.2944,30.908,30.5217,30.1353,29.749,29.3626,28.9763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-06 05:00:00+00:00,38.641871504791055,38.84697645659819,38.5598300456784,38.737586975097656,169000,2005,1,1,Thursday,38.6966,38.53248596191406,0.53,0.28,0.07,0.53,-0.07,0,0.0,38.1472,37.7618,37.3765,36.9912,36.6059,36.2205,35.8352,35.4499,35.0646,34.6792,34.2939,33.9086,33.5233,33.1379,32.7526,32.3673,31.5966,31.2113,30.826,30.4407,30.0553,29.67,29.2847,28.8994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-07 05:00:00+00:00,38.86749690224414,38.86749690224414,38.55300238209187,38.62820816040039,258600,2005,1,1,Friday,38.7291,38.737586975097656,-0.28,0.34,-0.48,-0.28,0.48,0,0.0,38.3502,37.9628,37.5755,37.1881,36.8007,36.4133,36.026,35.6386,35.2512,34.8638,34.4765,34.0891,33.7017,33.3143,32.9269,32.5396,31.7648,31.3774,30.9901,30.6027,30.2153,29.8279,29.4406,29.0532,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-10 05:00:00+00:00,38.655552667451325,38.87433167092758,38.58034689599671,38.76494216918945,475000,2005,1,2,Monday,38.7188,38.62820816040039,0.35,0.07,-0.12,0.35,0.12,0,0.0,38.2419,37.8556,37.4694,37.0831,36.6968,36.3105,35.9242,35.538,35.1517,34.7654,34.3791,33.9928,33.6065,33.2203,32.834,32.4477,31.6751,31.2888,30.9026,30.5163,30.13,29.7437,29.3574,28.9712,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-11 05:00:00+00:00,38.52564811232392,38.6623856318243,38.429932631089024,38.5051383972168,115400,2005,1,2,Tuesday,38.5308,38.76494216918945,-0.67,-0.62,-0.86,-0.67,0.86,0,0.0,38.3773,37.9896,37.602,37.2143,36.8267,36.439,36.0514,35.6637,35.2761,34.8884,34.5008,34.1131,33.7255,33.3379,32.9502,32.5626,31.7873,31.3996,31.012,30.6243,30.2367,29.849,29.4614,29.0737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-12 05:00:00+00:00,38.52561755181036,38.73072497238474,38.32051273928517,38.669193267822266,196000,2005,1,2,Wednesday,38.5615,38.5051383972168,0.43,0.05,-0.48,0.43,0.48,0,0.0,38.1201,37.735,37.35,36.9649,36.5799,36.1948,35.8098,35.4247,35.0397,34.6546,34.2696,33.8845,33.4995,33.1144,32.7294,32.3443,31.5742,31.1892,30.8041,30.4191,30.034,29.649,29.2639,28.8789,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-13 05:00:00+00:00,38.54615459515379,38.76493354998556,38.23849587490572,38.31370162963867,716700,2005,1,2,Thursday,38.4658,38.669193267822266,-0.92,-0.32,-1.11,-0.92,1.11,1,38.2825,38.2825,37.8958,37.5091,37.1224,36.7357,36.349,35.9623,35.5757,35.189,34.8023,34.4156,34.0289,33.6422,33.2555,32.8688,32.4821,31.7087,31.322,30.9354,30.5487,30.162,29.7753,29.3886,29.0019,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2005-01-14 05:00:00+00:00,38.464122073208365,38.53932785050876,38.34789685959986,38.48463439941406,346800,2005,1,2,Friday,38.459,38.31370162963867,0.45,0.39,0.09,0.45,-0.09,0,0.0,37.9306,37.5474,37.1643,36.7812,36.398,36.0149,35.6317,35.2486,34.8655,34.4823,34.0992,33.7161,33.3329,32.9498,32.5666,32.1835,31.4172,31.0341,30.651,30.2678,29.8847,29.5016,29.1184,28.7353,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
