Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
AAPL,2005-01-03 05:00:00+00:00,0.9723516086825332,0.9773050403836452,0.9396293394687296,0.9499868154525756,691992000,2005,1,1,Monday,0.9598,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-04 05:00:00+00:00,0.9574914006595462,0.9827082722137302,0.9451830726887024,0.9597432613372804,1096810400,2005,1,1,Tuesday,0.9613,0.9499868154525756,1.03,0.79,-0.51,1.03,0.51,0,0.0,0.9405,0.931,0.9215,0.912,0.9025,0.893,0.8835,0.874,0.8645,0.855,0.8455,0.836,0.8265,0.817,0.8075,0.798,0.779,0.7695,0.76,0.7505,0.741,0.7315,0.722,0.7125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-05 05:00:00+00:00,0.9675478103525564,0.9794065270242264,0.9613940475452418,0.9681488275527954,680433600,2005,1,1,Wednesday,0.9691,0.9597432613372804,0.88,0.81,0.17,0.88,-0.17,0,0.0,0.9501,0.9405,0.931,0.9214,0.9118,0.9022,0.8926,0.883,0.8734,0.8638,0.8542,0.8446,0.835,0.8254,0.8158,0.8062,0.787,0.7774,0.7678,0.7582,0.7486,0.739,0.7294,0.7198,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-06 05:00:00+00:00,0.9706999753367066,0.974302571365202,0.950586942137038,0.968899428844452,705555200,2005,1,1,Thursday,0.9661,0.9681488275527954,0.08,0.26,-1.81,0.08,1.81,1,0.9585,0.9585,0.9488,0.9391,0.9294,0.9197,0.9101,0.9004,0.8907,0.881,0.8713,0.8617,0.852,0.8423,0.8326,0.8229,0.8132,0.7939,0.7842,0.7745,0.7648,0.7552,0.7455,0.7358,0.7261,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-07 05:00:00+00:00,0.975653662361299,1.0451505265407597,0.9719013621700712,1.039446473121643,2227450400,2005,1,1,Friday,1.008,0.968899428844452,7.28,0.7,0.31,7.28,-0.31,0,0.0,0.9592,0.9495,0.9398,0.9301,0.9205,0.9108,0.9011,0.8914,0.8817,0.872,0.8623,0.8526,0.8429,0.8333,0.8236,0.8139,0.7945,0.7848,0.7751,0.7654,0.7557,0.7461,0.7364,0.7267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-10 05:00:00+00:00,1.0481521712713324,1.0612112216184075,1.0188828880401992,1.0350940227508545,1725309600,2005,1,2,Monday,1.0408,1.039446473121643,-0.42,0.84,-1.98,-0.42,1.98,1,1.0291,1.0291,1.0187,1.0083,0.9979,0.9875,0.9771,0.9667,0.9563,0.9459,0.9355,0.9251,0.9147,0.9043,0.8939,0.8835,0.8731,0.8523,0.842,0.8316,0.8212,0.8108,0.8004,0.79,0.7796,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-11 05:00:00+00:00,1.0244359927989897,1.0379446466350892,0.9627445730990918,0.9690487384796144,2611627200,2005,1,2,Tuesday,0.9985,1.0350940227508545,-6.38,-1.03,-6.99,-6.38,6.99,6,5.9932,1.0247,1.0144,1.004,0.9937,0.9833,0.973,0.9626,0.9523,0.9419,0.9316,0.9212,0.9109,0.9005,0.8902,0.8798,0.8695,0.8488,0.8384,0.8281,0.8177,0.8074,0.797,0.7867,0.7763,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-12 05:00:00+00:00,0.9824083226421046,0.9891630032478484,0.9501365609656732,0.9825587272644044,1919702400,2005,1,2,Wednesday,0.9761,0.9690487384796144,1.39,1.38,-1.95,1.39,1.95,1,0.9594,0.9594,0.9497,0.94,0.9303,0.9206,0.9109,0.9012,0.8915,0.8818,0.8721,0.8625,0.8528,0.8431,0.8334,0.8237,0.814,0.7946,0.7849,0.7752,0.7655,0.7559,0.7462,0.7365,0.7268,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-13 05:00:00+00:00,1.1063917788286026,1.1170492682926234,1.0466521609909338,1.0477027893066406,3164716800,2005,1,2,Thursday,1.0794,0.9825587272644044,6.63,12.6,6.52,6.63,-6.52,0,0.0,0.9727,0.9629,0.9531,0.9433,0.9334,0.9236,0.9138,0.904,0.8941,0.8843,0.8745,0.8647,0.8548,0.845,0.8352,0.8253,0.8057,0.7959,0.786,0.7762,0.7664,0.7566,0.7467,0.7369,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2005-01-14 05:00:00+00:00,1.054456670420856,1.076521466189232,1.0385464417111647,1.0537060499191284,1770742400,2005,1,2,Friday,1.0558,1.0477027893066406,0.57,0.64,-0.87,0.57,0.87,0,0.0,1.0372,1.0267,1.0163,1.0058,0.9953,0.9848,0.9744,0.9639,0.9534,0.9429,0.9325,0.922,0.9115,0.901,0.8905,0.8801,0.8591,0.8486,0.8382,0.8277,0.8172,0.8067,0.7963,0.7858,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
