Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
HSBC,2005-01-03 05:00:00+00:00,28.86487904187776,28.966657737144224,28.72917152645024,28.73256492614746,348600,2005,1,1,Monday,28.8233,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-04 05:00:00+00:00,28.942917960755,28.946311361489208,28.600259550384184,28.624008178710938,528900,2005,1,1,Tuesday,28.7784,28.73256492614746,-0.38,0.73,-0.46,-0.38,0.46,0,0.0,28.4452,28.1579,27.8706,27.5833,27.2959,27.0086,26.7213,26.434,26.1466,25.8593,25.572,25.2847,24.9973,24.71,24.4227,24.1354,23.5607,23.2734,22.9861,22.6987,22.4114,22.1241,21.8367,21.5494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-05 05:00:00+00:00,28.57989952020768,28.69185844010556,28.50865364074707,28.50865364074707,340300,2005,1,1,Wednesday,28.5723,28.624008178710938,-0.4,-0.15,-0.4,-0.4,0.4,0,0.0,28.3378,28.0515,27.7653,27.479,27.1928,26.9066,26.6203,26.3341,26.0478,25.7616,25.4754,25.1891,24.9029,24.6166,24.3304,24.0442,23.4717,23.1854,22.8992,22.613,22.3267,22.0405,21.7542,21.468,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-06 05:00:00+00:00,28.383120031509645,28.478114516491463,28.308480768050902,28.34580039978028,415600,2005,1,1,Thursday,28.3789,28.50865364074707,-0.57,-0.44,-0.7,-0.57,0.7,0,0.0,28.2236,27.9385,27.6534,27.3683,27.0832,26.7981,26.513,26.228,25.9429,25.6578,25.3727,25.0876,24.8025,24.5174,24.2324,23.9473,23.3771,23.092,22.8069,22.5218,22.2367,21.9517,21.6666,21.3815,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-07 05:00:00+00:00,28.372921143905664,28.403456544483067,28.09811548072842,28.115079879760746,441000,2005,1,1,Friday,28.2474,28.34580039978028,-0.81,0.1,-0.87,-0.81,0.87,0,0.0,28.0623,27.7789,27.4954,27.212,26.9285,26.6451,26.3616,26.0781,25.7947,25.5112,25.2278,24.9443,24.6608,24.3774,24.0939,23.8105,23.2436,22.9601,22.6766,22.3932,22.1097,21.8263,21.5428,21.2594,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-10 05:00:00+00:00,28.050632486072608,28.17276897347537,28.006528650001407,28.081165313720703,258900,2005,1,2,Monday,28.0778,28.115079879760746,-0.12,-0.23,-0.39,-0.12,0.39,0,0.0,27.8339,27.5528,27.2716,26.9905,26.7093,26.4282,26.147,25.8659,25.5847,25.3036,25.0224,24.7413,24.4601,24.179,23.8978,23.6167,23.0544,22.7732,22.4921,22.2109,21.9298,21.6486,21.3675,21.0863,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-11 05:00:00+00:00,27.952250200647104,28.06081570131612,27.853862311227413,27.881004333496094,268100,2005,1,2,Tuesday,27.937,28.081165313720703,-0.71,-0.46,-0.81,-0.71,0.81,0,0.0,27.8004,27.5195,27.2387,26.9579,26.6771,26.3963,26.1155,25.8347,25.5539,25.273,24.9922,24.7114,24.4306,24.1498,23.869,23.5882,23.0266,22.7457,22.4649,22.1841,21.9033,21.6225,21.3417,21.0609,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-12 05:00:00+00:00,27.840281942834245,28.06080626993796,27.75546509305627,28.05062866210937,540400,2005,1,2,Wednesday,27.9268,27.881004333496094,0.61,-0.15,-0.45,0.61,0.45,0,0.0,27.6022,27.3234,27.0446,26.7658,26.487,26.2081,25.9293,25.6505,25.3717,25.0929,24.8141,24.5353,24.2565,23.9777,23.6989,23.42,22.8624,22.5836,22.3048,22.026,21.7472,21.4684,21.1896,20.9108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-13 05:00:00+00:00,27.93868584615961,28.009931730285604,27.76905204917212,27.7860164642334,514700,2005,1,2,Thursday,27.8759,28.05062866210937,-0.94,-0.4,-1.0,-0.94,1.0,1,27.7701,27.7701,27.4896,27.2091,26.9286,26.6481,26.3676,26.0871,25.8066,25.5261,25.2456,24.9651,24.6846,24.404,24.1235,23.843,23.5625,23.0015,22.721,22.4405,22.16,21.8795,21.599,21.3185,21.038,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-14 05:00:00+00:00,27.89458229043091,27.9895768036194,27.83012061859315,27.921724319458008,451000,2005,1,2,Friday,27.909,27.7860164642334,0.49,0.39,0.16,0.49,-0.16,0,0.0,27.5082,27.2303,26.9524,26.6746,26.3967,26.1189,25.841,25.5631,25.2853,25.0074,24.7296,24.4517,24.1738,23.896,23.6181,23.3403,22.7845,22.5067,22.2288,21.951,21.6731,21.3952,21.1174,20.8395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
