Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
VGT,2005-01-03 05:00:00+00:00,40.32208101448446,40.32208101448446,39.55744171142578,39.55744171142578,8300,2005,1,1,Monday,39.9398,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-04 05:00:00+00:00,39.701875656674304,39.701875656674304,38.69085109061345,38.741825103759766,6400,2005,1,1,Tuesday,39.2091,39.55744171142578,-2.06,0.37,-2.19,-2.06,2.19,2,77.9282,39.1619,38.7663,38.3707,37.9751,37.5796,37.184,36.7884,36.3928,35.9973,35.6017,35.2061,34.8105,34.415,34.0194,33.6238,33.2283,32.4371,32.0415,31.646,31.2504,30.8548,30.4592,30.0637,29.6681,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-05 05:00:00+00:00,38.74183594117786,38.74183594117786,38.537933349609375,38.537933349609375,1900,2005,1,1,Wednesday,38.6399,38.741825103759766,-0.53,0.0,-0.53,-0.53,0.53,0,0.0,38.3544,37.967,37.5796,37.1922,36.8047,36.4173,36.0299,35.6425,35.2551,34.8676,34.4802,34.0928,33.7054,33.318,32.9306,32.5431,31.7683,31.3809,30.9935,30.606,30.2186,29.8312,29.4438,29.0564,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-06 05:00:00+00:00,38.70784087382443,38.70784087382443,38.39348602294922,38.39348602294922,6800,2005,1,1,Thursday,38.5507,38.537933349609375,-0.37,0.44,-0.37,-0.37,0.37,0,0.0,38.1526,37.7672,37.3818,36.9964,36.611,36.2257,35.8403,35.4549,35.0695,34.6841,34.2988,33.9134,33.528,33.1426,32.7572,32.3719,31.6011,31.2157,30.8303,30.445,30.0596,29.6742,29.2888,28.9035,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-07 05:00:00+00:00,38.44445901739745,38.461451432399095,38.18957927431624,38.41897201538086,2900,2005,1,1,Friday,38.3786,38.39348602294922,0.07,0.13,-0.53,0.07,0.53,0,0.0,38.0096,37.6256,37.2417,36.8577,36.4738,36.0899,35.7059,35.322,34.9381,34.5541,34.1702,33.7863,33.4023,33.0184,32.6345,32.2505,31.4827,31.0987,30.7148,30.3309,29.9469,29.563,29.179,28.7951,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-10 05:00:00+00:00,38.53792201223613,38.63137868961676,38.266049809477366,38.41048049926758,4200,2005,1,2,Monday,38.4615,38.41897201538086,-0.02,0.31,-0.4,-0.02,0.4,0,0.0,38.0348,37.6506,37.2664,36.8822,36.498,36.1138,35.7296,35.3455,34.9613,34.5771,34.1929,33.8087,33.4245,33.0403,32.6561,32.2719,31.5036,31.1194,30.7352,30.351,29.9668,29.5826,29.1984,28.8142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-11 05:00:00+00:00,38.283053463647086,38.283053463647086,38.01118118109168,38.11313247680664,3100,2005,1,2,Tuesday,38.1726,38.41048049926758,-0.77,-0.33,-1.04,-0.77,1.04,1,38.0264,38.0264,37.6423,37.2582,36.8741,36.49,36.1059,35.7217,35.3376,34.9535,34.5694,34.1853,33.8012,33.4171,33.033,32.6489,32.2648,31.4966,31.1125,30.7284,30.3443,29.9602,29.5761,29.192,28.8079,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-12 05:00:00+00:00,38.22357499553562,38.29154143393643,37.83275582108334,38.15560531616211,1700,2005,1,2,Wednesday,38.1259,38.11313247680664,0.11,0.29,-0.74,0.11,0.74,0,0.0,37.732,37.3509,36.9697,36.5886,36.2075,35.8263,35.4452,35.0641,34.683,34.3018,33.9207,33.5396,33.1584,32.7773,32.3962,32.015,31.2528,30.8716,30.4905,30.1094,29.7282,29.3471,28.966,28.5848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-13 05:00:00+00:00,38.1471193841807,38.24907068540602,38.12162912814429,38.19809341430664,2300,2005,1,2,Thursday,38.179,38.15560531616211,0.11,-0.02,-0.09,0.11,0.09,0,0.0,37.774,37.3925,37.0109,36.6294,36.2478,35.8663,35.4847,35.1032,34.7216,34.34,33.9585,33.5769,33.1954,32.8138,32.4323,32.0507,31.2876,30.906,30.5245,30.1429,29.7614,29.3798,28.9983,28.6167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2005-01-14 05:00:00+00:00,38.0196668219414,38.14710834231456,38.0196668219414,38.036659240722656,5100,2005,1,2,Friday,38.0558,38.19809341430664,-0.42,-0.47,-0.47,-0.42,0.47,0,0.0,37.8161,37.4341,37.0522,36.6702,36.2882,35.9062,35.5242,35.1422,34.7603,34.3783,33.9963,33.6143,33.2323,32.8504,32.4684,32.0864,31.3224,30.9405,30.5585,30.1765,29.7945,29.4125,29.0306,28.6486,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
