Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQQ,2022-01-03,388.6249518186861,391.4394658842447,386.511658923801,391.1862487792969,40575900,2022,1,1,Monday,389.4406,387.456298828125,0.96,0.3,-0.24,0.96,0.24,0,0.0,383.5817,379.7072,375.8326,371.958,368.0835,364.2089,360.3344,356.4598,352.5852,348.7107,344.8361,340.9615,337.087,333.2124,329.3379,325.4633,321.5887,317.7142,313.8396,309.965,306.0905,302.2159,298.3414,294.4668,290.5922,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-04,391.7315539351882,391.7705172651739,383.01538866067614,386.1123046875,58027200,2022,1,1,Tuesday,388.1574,391.1862487792969,-1.3,0.14,-2.09,-1.3,2.09,2,770.6369,387.2744,383.3625,379.4507,375.5388,371.6269,367.7151,363.8032,359.8913,355.9795,352.0676,348.1558,344.2439,340.332,336.4202,332.5083,328.5964,324.6846,320.7727,316.8609,312.949,309.0371,305.1253,301.2134,297.3015,293.3897,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-05,384.4275597698944,385.54754023833226,373.9973627235107,374.2505798339844,75739800,2022,1,1,Wednesday,379.5558,386.1123046875,-3.07,-0.44,-3.14,-3.07,3.14,3,1135.1702,382.2512,378.3901,374.5289,370.6678,366.8067,362.9456,359.0844,355.2233,351.3622,347.5011,343.64,339.7788,335.9177,332.0566,328.1955,324.3343,320.4732,316.6121,312.751,308.8898,305.0287,301.1676,297.3065,293.4454,289.5842,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-06,372.4294026530423,377.2306007150052,370.199219910222,373.9875793457031,70814300,2022,1,1,Thursday,373.4617,374.2505798339844,-0.07,-0.49,-1.08,-0.07,1.08,1,370.5081,370.5081,366.7656,363.0231,359.2806,355.5381,351.7955,348.053,344.3105,340.568,336.8255,333.083,329.3405,325.598,321.8555,318.113,314.3705,310.628,306.8855,303.143,299.4005,295.658,291.9155,288.1729,284.4304,280.6879,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-07,373.9973217648803,375.68213669487847,368.1638183610447,369.9362487792969,72652300,2022,1,1,Friday,371.9449,373.9875793457031,-1.08,0.0,-1.56,-1.08,1.56,1,370.2477,370.2477,366.5078,362.768,359.0281,355.2882,351.5483,347.8084,344.0686,340.3287,336.5888,332.8489,329.1091,325.3692,321.6293,317.8894,314.1496,310.4097,306.6698,302.9299,299.1901,295.4502,291.7103,287.9704,284.2306,280.4907,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-10,365.02796928340246,370.6959310070584,359.6619065434857,370.17974853515625,91770500,2022,1,2,Monday,366.3914,369.9362487792969,0.07,-1.33,-2.78,0.07,2.78,2,728.7744,366.2369,362.5375,358.8382,355.1388,351.4394,347.7401,344.0407,340.3413,336.642,332.9426,329.2433,325.5439,321.8445,318.1452,314.4458,310.7464,307.0471,303.3477,299.6484,295.949,292.2496,288.5503,284.8509,281.1515,277.4522,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-11,369.4493143206494,375.906112223643,367.3652366626688,375.7405700683594,68295700,2022,1,2,Tuesday,372.1153,370.17974853515625,1.5,-0.2,-0.76,1.5,0.76,0,0.0,366.478,362.7762,359.0744,355.3726,351.6708,347.969,344.2672,340.5654,336.8636,333.1618,329.46,325.7582,322.0564,318.3546,314.6528,310.951,307.2492,303.5474,299.8456,296.1438,292.442,288.7402,285.0384,281.3366,277.6348,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-12,378.3115781015155,380.0061412768249,374.9517262607391,377.2305908203125,54576400,2022,1,2,Wednesday,377.625,375.7405700683594,0.4,0.68,-0.21,0.4,0.21,0,0.0,371.9832,368.2258,364.4684,360.7109,356.9535,353.1961,349.4387,345.6813,341.9239,338.1665,334.4091,330.6517,326.8943,323.1369,319.3795,315.6221,311.8647,308.1073,304.3499,300.5925,296.8351,293.0776,289.3202,285.5628,281.8054,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-13,378.6134400713968,379.29516458019566,366.8587893280662,367.793701171875,77994000,2022,1,2,Thursday,373.1403,377.2305908203125,-2.5,0.37,-2.75,-2.5,2.75,2,743.1443,373.4583,369.686,365.9137,362.1414,358.3691,354.5968,350.8244,347.0521,343.2798,339.5075,335.7352,331.9629,328.1906,324.4183,320.646,316.8737,313.1014,309.3291,305.5568,301.7845,298.0122,294.2399,290.4676,286.6952,282.9229,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2022-01-14,365.27142052289753,370.41348098310857,365.0668853086839,370.0823669433594,80121200,2022,1,2,Friday,367.7085,367.793701171875,0.62,-0.69,-0.74,0.62,0.74,0,0.0,364.1158,360.4378,356.7599,353.082,349.404,345.7261,342.0481,338.3702,334.6923,331.0143,327.3364,323.6585,319.9805,316.3026,312.6246,308.9467,305.2688,301.5908,297.9129,294.235,290.557,286.8791,283.2011,279.5232,275.8453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
